,Player,Season,Team,dob,pos
13642,Travis Konecny,20222023,Philadelphia Flyers,1997-03-11,RW/LW
13643,Aleksander Barkov,20222023,Florida Panthers,1995-09-02,C
13644,Timo Meier,20222023,totals,1996-10-08,LW/RW
13645,Logan Couture,20222023,San Jose Sharks,1989-03-28,C
13646,Elias Lindholm,20222023,Calgary Flames,1994-12-02,C
13647,Brandon Montour,20222023,Florida Panthers,1994-04-11,D
13648,Jared McCann,20222023,Seattle Kraken,1996-05-31,C/LW
13649,Cale Makar,20222023,Colorado Avalanche,1998-10-30,D
13650,Chandler Stephenson,20222023,Vegas Golden Knights,1994-04-22,C/LW
13651,Adrian Kempe,20222023,Los Angeles Kings,1996-09-13,C/W
13652,Matt Duchene,20222023,Nashville Predators,1991-01-16,C/RW
13653,Max Domi,20222023,totals,1995-03-02,C/LW
13654,Drake Batherson,20222023,Ottawa Senators,1998-04-27,RW/C
13655,Tomas Hertl,20222023,San Jose Sharks,1993-11-12,C/LW
13656,Mathew Barzal,20222023,New York Islanders,1997-05-26,C/RW
13657,Jordan Eberle,20222023,Seattle Kraken,1990-05-15,RW
13658,David Krejci,20222023,Boston Bruins,1986-04-28,C
13659,Brent Burns,20222023,Carolina Hurricanes,1985-03-09,D
13660,Vince Dunn,20222023,Seattle Kraken,1996-10-29,D
13661,Jack Eichel,20222023,Vegas Golden Knights,1996-10-28,C
13662,Brandon Hagel,20222023,Tampa Bay Lightning,1998-08-27,LW
13663,Evgeny Kuznetsov,20222023,Washington Capitals,1992-05-19,C
13664,Patrice Bergeron,20222023,Boston Bruins,1985-07-24,C
13665,Joel Eriksson Ek,20222023,Minnesota Wild,1997-01-29,C
13666,Nick Suzuki,20222023,Montréal Canadiens,1999-08-10,C
13667,Alex Killorn,20222023,Tampa Bay Lightning,1989-09-14,LW
13668,Vincent Trocheck,20222023,New York Rangers,1993-07-11,C
13669,Kevin Hayes,20222023,Philadelphia Flyers,1992-05-08,C
13670,Miro Heiskanen,20222023,Dallas Stars,1999-07-18,D
13671,Dawson Mercer,20222023,New Jersey Devils,2001-10-27,C
13672,Patrick Kane,20222023,totals,1988-11-19,RW
13673,Troy Terry,20222023,Anaheim Ducks,1997-09-10,RW/C
13674,Nazem Kadri,20222023,Calgary Flames,1990-10-06,C
13675,Matty Beniers,20222023,Seattle Kraken,2002-11-05,C
13676,Anders Lee,20222023,New York Islanders,1990-07-03,LW
13677,Sam Reinhart,20222023,Florida Panthers,1995-11-06,C/RW
13678,Nick Schmaltz,20222023,Arizona Coyotes,1996-02-23,C/RW
13679,Artturi Lehkonen,20222023,Colorado Avalanche,1995-07-04,LW
13680,Phillip Danault,20222023,Los Angeles Kings,1993-02-24,C/LW
13681,Blake Wheeler,20222023,Winnipeg Jets,1986-08-31,RW/C
13682,Mikhail Sergachev,20222023,Tampa Bay Lightning,1998-06-25,D
13683,Brayden Schenn,20222023,St Louis Blues,1991-08-22,C/W
13684,Dylan Strome,20222023,Washington Capitals,1997-03-07,C/RW
13685,Tyson Barrie,20222023,totals,1991-07-26,D
13686,Chris Kreider,20222023,New York Rangers,1991-04-30,LW
13687,Reilly Smith,20222023,Vegas Golden Knights,1991-04-01,RW/LW
13688,Rickard Rakell,20222023,Pittsburgh Penguins,1993-05-05,W/C
13689,Jonathan Marchessault,20222023,Vegas Golden Knights,1990-12-27,LW/RW
13690,Viktor Arvidsson,20222023,Los Angeles Kings,1993-04-08,LW/RW
13691,Patrik Laine,20222023,Columbus Blue Jackets,1998-04-19,LW/RW
13692,Michael Bunting,20222023,Toronto Maple Leafs,1995-09-17,LW/RW
13693,Pavel Zacha,20222023,Boston Bruins,1997-04-06,C/LW
13694,Charlie McAvoy,20222023,Boston Bruins,1997-12-21,D
13695,Filip Forsberg,20222023,Nashville Predators,1994-08-13,W/C
13696,Tyler Seguin,20222023,Dallas Stars,1992-01-31,C/RW
13697,Matt Boldy,20222023,Minnesota Wild,2001-04-05,LW/RW
13698,Mikael Backlund,20222023,Calgary Flames,1989-03-17,C
13699,Alexander Barabanov,20222023,San Jose Sharks,1994-06-17,LW/RW
13700,J.T. Compher,20222023,Colorado Avalanche,1995-04-08,W/C
13701,Jonathan Huberdeau,20222023,Calgary Flames,1993-06-04,LW
13702,William Karlsson,20222023,Vegas Golden Knights,1993-01-08,C
13703,Hampus Lindholm,20222023,Boston Bruins,1994-01-20,D
13704,Victor Hedman,20222023,Tampa Bay Lightning,1990-12-18,D
13705,David Perron,20222023,Detroit Red Wings,1988-05-28,LW/RW
13706,Brock Boeser,20222023,Vancouver Canucks,1997-02-25,RW
13707,Drew Doughty,20222023,Los Angeles Kings,1989-12-08,D
13708,Jason Zucker,20222023,Pittsburgh Penguins,1992-01-16,LW/RW
13709,Yanni Gourde,20222023,Seattle Kraken,1991-12-15,C/W
13710,Casey Mittelstadt,20222023,Buffalo Sabres,1998-11-22,C/LW
13711,Dominik Kubalik,20222023,Detroit Red Wings,1995-08-21,LW
13712,Andre Burakovsky,20222023,Seattle Kraken,1995-02-09,LW/RW
13713,Rasmus Andersson,20222023,Calgary Flames,1996-10-27,D
13714,Jake DeBrusk,20222023,Boston Bruins,1996-10-17,LW
13715,Mark Stone,20222023,Vegas Golden Knights,1992-05-13,RW
13716,Dillon Dube,20222023,Calgary Flames,1998-07-20,C/LW
13717,Vladimir Tarasenko,20222023,totals,1991-12-13,RW
13718,Tomas Tatar,20222023,New Jersey Devils,1990-12-01,LW/RW
13719,Mason McTavish,20222023,Anaheim Ducks,2003-01-30,C/LW
13720,Noah Dobson,20222023,New York Islanders,2000-01-07,D
13721,Filip Hronek,20222023,totals,1997-11-02,D
13722,Cam Fowler,20222023,Anaheim Ducks,1991-12-05,D
13723,Alex Pietrangelo,20222023,Vegas Golden Knights,1990-01-18,D
13724,Erik Gustafsson,20222023,totals,1992-03-14,D
13725,Gabriel Vilardi,20222023,Los Angeles Kings,1999-08-16,C
13726,Filip Chytil,20222023,New York Rangers,1999-09-05,C
13727,Sam Bennett,20222023,Florida Panthers,1996-06-20,C/LW
13728,Bryan Rust,20222023,Pittsburgh Penguins,1992-05-11,RW/LW
13729,Cole Caufield,20222023,Montréal Canadiens,2001-01-02,LW/RW
13730,Lawson Crouse,20222023,Arizona Coyotes,1997-06-23,LW
13731,Boone Jenner,20222023,Columbus Blue Jackets,1993-06-15,C
13732,Taylor Hall,20222023,Boston Bruins,1991-11-14,LW
13733,Eetu Luostarinen,20222023,Florida Panthers,1998-09-02,C
13734,Scott Laughton,20222023,Philadelphia Flyers,1994-05-30,C/LW
13735,Charlie Coyle,20222023,Boston Bruins,1992-03-02,C/RW
13736,Mikael Granlund,20222023,totals,1992-02-26,C
13737,Shea Theodore,20222023,Vegas Golden Knights,1995-08-03,D
13738,Jack Roslovic,20222023,Columbus Blue Jackets,1997-01-29,C/RW
13739,Kirby Dach,20222023,Montréal Canadiens,2001-01-21,C/RW
13740,Shayne Gostisbehere,20222023,totals,1993-04-20,D
13741,Thomas Chabot,20222023,Ottawa Senators,1997-01-30,D
13742,Andrew Copp,20222023,Detroit Red Wings,1994-07-08,C/LW
13743,Matias Maccelli,20222023,Arizona Coyotes,2000-10-14,LW
13744,Owen Tippett,20222023,Philadelphia Flyers,1999-02-16,RW/LW
13745,Daniel Sprong,20222023,Seattle Kraken,1997-03-17,RW/LW
13746,Jaden Schwartz,20222023,Seattle Kraken,1992-06-25,LW
13747,Lucas Raymond,20222023,Detroit Red Wings,2002-03-28,RW
13748,Oliver Bjorkstrand,20222023,Seattle Kraken,1995-04-10,RW
13749,Conor Garland,20222023,Vancouver Canucks,1996-03-11,RW/LW
13750,Ivan Barbashev,20222023,totals,1995-12-14,C/W
13751,Tony DeAngelo,20222023,Philadelphia Flyers,1995-10-24,D
13752,Sean Durzi,20222023,Los Angeles Kings,1998-10-21,D
13753,Darnell Nurse,20222023,Edmonton Oilers,1995-02-04,D
13754,Devon Toews,20222023,Colorado Avalanche,1994-02-21,D
13755,Victor Olofsson,20222023,Buffalo Sabres,1995-07-18,LW/RW
13756,Adam Henrique,20222023,Anaheim Ducks,1990-02-06,C/LW
13757,Anthony Beauvillier,20222023,totals,1997-06-08,LW/C
13758,Teuvo Teravainen,20222023,Carolina Hurricanes,1994-09-11,W/C
13759,Justin Faulk,20222023,St Louis Blues,1992-03-20,D
13760,Erik Haula,20222023,New Jersey Devils,1991-03-23,LW/C
13761,Gustav Forsling,20222023,Florida Panthers,1996-06-12,D
13762,Moritz Seider,20222023,Detroit Red Wings,2001-04-06,D
13763,Nino Niederreiter,20222023,totals,1992-09-08,RW/LW
13764,Frank Vatrano,20222023,Anaheim Ducks,1994-03-14,W/C
13765,Alexis Lafreniere,20222023,New York Rangers,2001-10-11,LW/RW
13766,Seth Jarvis,20222023,Carolina Hurricanes,2002-02-01,C/W
13767,Andrew Mangiapane,20222023,Calgary Flames,1996-04-04,W/C
13768,Valeri Nichushkin,20222023,Colorado Avalanche,1995-03-04,RW
13769,Kaapo Kakko,20222023,New York Rangers,2001-02-13,RW
13770,Alex Wennberg,20222023,Seattle Kraken,1994-09-22,C
13771,Jakob Chychrun,20222023,totals,1998-03-31,D
13772,Morgan Rielly,20222023,Toronto Maple Leafs,1994-03-09,D
13773,Nick Paul,20222023,Tampa Bay Lightning,1995-03-20,LW/C
13774,Kent Johnson,20222023,Columbus Blue Jackets,2002-10-18,LW/C
13775,Conor Sheary,20222023,Washington Capitals,1992-06-08,LW/RW
13776,Ryan Strome,20222023,Anaheim Ducks,1993-07-11,C/RW
13777,Seth Jones,20222023,Chicago Blackhawks,1994-10-03,D
13778,K'Andre Miller,20222023,New York Rangers,2000-01-21,D
13779,Wyatt Johnston,20222023,Dallas Stars,2003-05-14,C
13780,Blake Coleman,20222023,Calgary Flames,1991-11-28,C/W
13781,Evan Rodrigues,20222023,Colorado Avalanche,1993-07-28,C/W
13782,Morgan Frost,20222023,Philadelphia Flyers,1999-05-14,C
13783,Jesperi Kotkaniemi,20222023,Carolina Hurricanes,2000-07-06,C/LW
13784,Mason Marchment,20222023,Dallas Stars,1995-06-18,LW/C
13785,Cole Perfetti,20222023,Winnipeg Jets,2002-01-01,C/LW
13786,T.J. Oshie,20222023,Washington Capitals,1986-12-23,RW
13787,Jordan Staal,20222023,Carolina Hurricanes,1988-09-10,C
13788,Taylor Raddysh,20222023,Chicago Blackhawks,1998-02-18,RW
13789,Calle Jarnkrok,20222023,Toronto Maple Leafs,1991-09-25,C/W
13790,Marcus Johansson,20222023,totals,1990-10-06,C/LW
13791,Brandon Tanev,20222023,Seattle Kraken,1991-12-31,LW/RW
13792,Jack Quinn,20222023,Buffalo Sabres,2001-09-19,RW/LW
13793,Barrett Hayton,20222023,Arizona Coyotes,2000-06-09,C/LW
13794,Sonny Milano,20222023,Washington Capitals,1996-05-12,LW
13795,Jean-Gabriel Pageau,20222023,New York Islanders,1992-11-11,C
13796,Michael Rasmussen,20222023,Detroit Red Wings,1999-04-17,C
13797,Blake Lizotte,20222023,Los Angeles Kings,1997-12-13,C
13798,Kris Letang,20222023,Pittsburgh Penguins,1987-04-24,D
13799,Dmitry Orlov,20222023,totals,1991-07-23,D
13800,Justin Schultz,20222023,Seattle Kraken,1990-07-06,D
13801,Samuel Girard,20222023,Colorado Avalanche,1998-05-12,D
13802,Shane Pinto,20222023,Ottawa Senators,2000-11-12,C
13803,Jonathan Toews,20222023,Chicago Blackhawks,1988-04-29,C
13804,Ilya Mikheyev,20222023,Vancouver Canucks,1994-10-10,RW/LW
13805,Ryan Johansen,20222023,Nashville Predators,1992-07-31,C
13806,Jordan Martinook,20222023,Carolina Hurricanes,1992-07-25,W/C
13807,Aaron Ekblad,20222023,Florida Panthers,1996-02-07,D
13808,Christian Dvorak,20222023,Montréal Canadiens,1996-02-02,LW/C
13809,Anton Lundell,20222023,Florida Panthers,2001-10-03,C
13810,Noah Hanifin,20222023,Calgary Flames,1997-01-25,D
13811,Calen Addison,20222023,Minnesota Wild,2000-04-11,D
13812,Josh Anderson,20222023,Montréal Canadiens,1994-05-07,RW/LW
13813,Ross Colton,20222023,Tampa Bay Lightning,1996-09-11,C
13814,Alex Newhook,20222023,Colorado Avalanche,2001-01-28,C/LW
13815,Yegor Sharangovich,20222023,New Jersey Devils,1998-06-06,C/W
13816,Brady Skjei,20222023,Carolina Hurricanes,1994-03-26,D
13817,Frederick Gaudreau,20222023,Minnesota Wild,1993-05-01,C
13818,Stefan Noesen,20222023,Carolina Hurricanes,1993-02-12,RW
13819,Noah Cates,20222023,Philadelphia Flyers,1999-02-05,LW
13820,Jared Spurgeon,20222023,Minnesota Wild,1989-11-29,D
13821,Joel Farabee,20222023,Philadelphia Flyers,2000-02-25,LW
13822,Adam Lowry,20222023,Winnipeg Jets,1993-03-29,C
13823,Zach Parise,20222023,New York Islanders,1984-07-28,LW/RW
13824,Andreas Athanasiou,20222023,Chicago Blackhawks,1994-08-06,C/W
13825,Phil Kessel,20222023,Vegas Golden Knights,1987-10-02,RW/C
13826,Mike Hoffman,20222023,Montréal Canadiens,1989-11-24,LW/C
13827,Kevin Labanc,20222023,San Jose Sharks,1995-12-12,RW/LW
13828,Nick Foligno,20222023,Boston Bruins,1987-10-31,LW/RW
13829,Alex Iafallo,20222023,Los Angeles Kings,1993-12-21,LW/C
13830,Neal Pionk,20222023,Winnipeg Jets,1995-07-29,D
13831,Alexander Kerfoot,20222023,Toronto Maple Leafs,1994-08-11,C/LW
13832,Jeff Petry,20222023,Pittsburgh Penguins,1987-12-09,D
13833,Adam Larsson,20222023,Seattle Kraken,1992-11-12,D
13834,Brandon Saad,20222023,St Louis Blues,1992-10-27,LW/RW
13835,William Carrier,20222023,Vegas Golden Knights,1994-12-20,LW
13836,Eeli Tolvanen,20222023,totals,1999-04-22,RW/LW
13837,Nicolas Roy,20222023,Vegas Golden Knights,1997-02-05,C/RW
13838,Travis Boyd,20222023,Arizona Coyotes,1993-09-14,C
13839,Cody Glass,20222023,Nashville Predators,1999-04-01,C
13840,Philipp Kurashev,20222023,Chicago Blackhawks,1999-10-12,C/W
13841,Josh Bailey,20222023,New York Islanders,1989-10-02,RW/C
13842,Rasmus Sandin,20222023,totals,2000-03-07,D
13843,J.J. Moser,20222023,Arizona Coyotes,2000-06-06,D
13844,Jake Sanderson,20222023,Ottawa Senators,2002-07-08,D
13845,Evan Bouchard,20222023,Edmonton Oilers,1999-10-20,D
13846,Ryan O'Reilly,20222023,totals,1991-02-07,C
13847,Nick Bjugstad,20222023,totals,1992-07-17,C/RW
13848,Trent Frederic,20222023,Boston Bruins,1998-02-11,C/LW
13849,Corey Perry,20222023,Tampa Bay Lightning,1985-05-16,RW
13850,Colton Sissons,20222023,Nashville Predators,1993-11-05,C/RW
13851,Christian Fischer,20222023,Arizona Coyotes,1997-04-15,RW/C
13852,Ryan Hartman,20222023,Minnesota Wild,1994-09-20,RW/C
13853,Barclay Goodrow,20222023,New York Rangers,1993-02-26,C/W
13854,Kyle Okposo,20222023,Buffalo Sabres,1988-04-16,RW/C
13855,Anthony Mantha,20222023,Washington Capitals,1994-09-16,RW/LW
13856,Jason Dickinson,20222023,Chicago Blackhawks,1995-07-04,C/LW
13857,John Klingberg,20222023,totals,1992-08-14,D
13858,Ty Dellandrea,20222023,Dallas Stars,2000-07-21,C/RW
13859,Torey Krug,20222023,St Louis Blues,1991-04-12,D
13860,Nikolaj Ehlers,20222023,Winnipeg Jets,1996-02-14,LW
13861,Owen Power,20222023,Buffalo Sabres,2002-11-22,D
13862,Brett Pesce,20222023,Carolina Hurricanes,1994-11-15,D
13863,Juuso Valimaki,20222023,Arizona Coyotes,1998-10-06,D
13864,Nick Jensen,20222023,Washington Capitals,1990-09-21,D
13865,Miles Wood,20222023,New Jersey Devils,1995-09-13,LW
13866,Tommy Novak,20222023,Nashville Predators,1997-04-28,C
13867,James van Riemsdyk,20222023,Philadelphia Flyers,1989-05-04,LW
13868,Kasperi Kapanen,20222023,totals,1996-07-23,RW/LW
13869,Jeff Carter,20222023,Pittsburgh Penguins,1985-01-01,C
13870,Matt Roy,20222023,Los Angeles Kings,1995-03-01,D
13871,Tyler Johnson,20222023,Chicago Blackhawks,1990-07-29,C
13872,Sam Steel,20222023,Minnesota Wild,1998-02-03,C
13873,JJ Peterka,20222023,Buffalo Sabres,2002-01-14,W/C
13874,Oskar Sundqvist,20222023,totals,1994-03-23,C
13875,David Kampf,20222023,Toronto Maple Leafs,1995-01-12,C/W
13876,Evgenii Dadonov,20222023,totals,1989-03-12,RW/LW
13877,Nick Cousins,20222023,Florida Panthers,1993-07-20,C/LW
13878,Jacob Trouba,20222023,New York Rangers,1994-02-26,D
13879,Juuso Parssinen,20222023,Nashville Predators,2001-02-01,C/LW
13880,Michael McLeod,20222023,New Jersey Devils,1998-02-03,C
13881,Jonatan Berggren,20222023,Detroit Red Wings,2000-07-16,W/C
13882,Eric Staal,20222023,Florida Panthers,1984-10-29,C
13883,Ryan Donato,20222023,Seattle Kraken,1996-04-09,C/LW
13884,Arthur Kaliyev,20222023,Los Angeles Kings,2001-06-26,RW/LW
13885,Gustav Nyquist,20222023,totals,1989-09-01,C/W
13886,Sam Lafferty,20222023,totals,1995-03-06,C/LW
13887,Nick Ritchie,20222023,totals,1995-12-05,LW
13888,Jesper Fast,20222023,Carolina Hurricanes,1991-12-02,RW
13889,Damon Severson,20222023,New Jersey Devils,1994-08-07,D
13890,Colton Parayko,20222023,St Louis Blues,1993-05-12,D
13891,Mark Giordano,20222023,Toronto Maple Leafs,1983-10-03,D
13892,Ivan Provorov,20222023,Philadelphia Flyers,1997-01-13,D
13893,Oliver Ekman-Larsson,20222023,Vancouver Canucks,1991-07-17,D
13894,Jonathan Drouin,20222023,Montréal Canadiens,1995-03-28,LW/C
13895,Matthew Benning,20222023,San Jose Sharks,1994-05-25,D
13896,Nico Sturm,20222023,San Jose Sharks,1995-05-03,C/LW
13897,Pierre Engvall,20222023,totals,1996-05-31,LW/RW
13898,Derick Brassard,20222023,Ottawa Senators,1987-09-22,C/LW
13899,Ryan McLeod,20222023,Edmonton Oilers,1999-09-21,C/W
13900,Kyle Palmieri,20222023,New York Islanders,1991-02-01,RW
13901,Nic Dowd,20222023,Washington Capitals,1990-05-27,C/RW
13902,Jakob Silfverberg,20222023,Anaheim Ducks,1990-10-13,RW/LW
13903,Anthony Cirelli,20222023,Tampa Bay Lightning,1997-07-15,C
13904,Jimmy Vesey,20222023,New York Rangers,1993-05-26,LW
13905,John Carlson,20222023,Washington Capitals,1990-01-10,D
13906,Trevor Moore,20222023,Los Angeles Kings,1995-03-31,C/W
13907,Logan O'Connor,20222023,Colorado Avalanche,1996-08-14,RW
13908,Tyson Jost,20222023,totals,1998-03-14,C
13909,Ryan Graves,20222023,New Jersey Devils,1995-05-21,D
13910,Luke Schenn,20222023,totals,1989-11-02,D
13911,Matt Grzelcyk,20222023,Boston Bruins,1994-01-05,D
13912,Marcus Pettersson,20222023,Pittsburgh Penguins,1996-05-08,D
13913,Yakov Trenin,20222023,Nashville Predators,1997-01-13,C/LW
13914,Peyton Krebs,20222023,Buffalo Sabres,2001-01-26,C/LW
13915,Paul Stastny,20222023,Carolina Hurricanes,1985-12-27,C
13916,Morgan Geekie,20222023,Seattle Kraken,1998-07-20,C/RW
13917,Adam Ruzicka,20222023,Calgary Flames,1999-05-11,C
13918,Fabian Zetterlund,20222023,totals,1999-08-25,LW
13919,Jaccob Slavin,20222023,Carolina Hurricanes,1994-05-01,D
13920,Mattias Ekholm,20222023,totals,1990-05-24,D
13921,Dylan DeMelo,20222023,Winnipeg Jets,1993-05-01,D
13922,Ryan Pulock,20222023,New York Islanders,1994-10-06,D
13923,Jake McCabe,20222023,totals,1993-10-12,D
13924,Alexander Romanov,20222023,New York Islanders,2000-01-06,D
13925,MacKenzie Weegar,20222023,Calgary Flames,1994-01-07,D
13926,Warren Foegele,20222023,Edmonton Oilers,1996-04-01,LW/C
13927,Noel Acciari,20222023,totals,1991-12-01,C
13928,Matt Nieto,20222023,totals,1992-11-05,LW/RW
13929,Michael Amadio,20222023,Vegas Golden Knights,1996-05-13,C/W
13930,Nick Bonino,20222023,totals,1988-04-20,C/LW
13931,Garnet Hathaway,20222023,totals,1991-11-23,RW/LW
13932,Evander Kane,20222023,Edmonton Oilers,1991-08-02,LW
13933,Ondrej Palat,20222023,New Jersey Devils,1991-03-28,LW
13934,Esa Lindell,20222023,Dallas Stars,1994-05-23,D
13935,Trevor van Riemsdyk,20222023,Washington Capitals,1991-07-24,D
13936,Matt Martin,20222023,New York Islanders,1989-05-08,LW
13937,Mattias Janmark,20222023,Edmonton Oilers,1992-12-08,C/W
13938,Michael Matheson,20222023,Montréal Canadiens,1994-02-27,D
13939,Olli Maatta,20222023,Detroit Red Wings,1994-08-22,D
13940,Sebastian Aho,20222023,New York Islanders,1996-02-17,D
13941,Nick Perbix,20222023,Tampa Bay Lightning,1998-06-15,D
13942,Kevin Shattenkirk,20222023,Anaheim Ducks,1989-01-29,D
13943,Kirill Marchenko,20222023,Columbus Blue Jackets,2000-07-21,RW/LW
13944,Pius Suter,20222023,Detroit Red Wings,1996-05-24,C
13945,Klim Kostin,20222023,Edmonton Oilers,1999-05-05,LW/RW
13946,Jamie Oleksiak,20222023,Seattle Kraken,1992-12-21,D
13947,Eric Robinson,20222023,Columbus Blue Jackets,1995-06-14,LW
13948,Danton Heinen,20222023,Pittsburgh Penguins,1995-07-05,W/C
13949,Marcus Foligno,20222023,Minnesota Wild,1991-08-10,LW/RW
13950,Ben Chiarot,20222023,Detroit Red Wings,1991-05-09,D
13951,Casey Cizikas,20222023,New York Islanders,1991-02-27,C
13952,Adam Boqvist,20222023,Columbus Blue Jackets,2000-08-15,D
13953,Jonas Siegenthaler,20222023,New Jersey Devils,1997-05-06,D
13954,Brenden Dillon,20222023,Winnipeg Jets,1990-11-13,D
13955,Brett Kulak,20222023,Edmonton Oilers,1994-01-06,D
13956,Brock McGinn,20222023,totals,1994-02-02,LW/RW
13957,Sean Kuraly,20222023,Columbus Blue Jackets,1993-01-20,C/LW
13958,Andrew Cogliano,20222023,Colorado Avalanche,1987-06-14,C/LW
13959,Kailer Yamamoto,20222023,Edmonton Oilers,1998-09-29,W/C
13960,Sean Monahan,20222023,Montréal Canadiens,1994-10-12,C
13961,Vladislav Namestnikov,20222023,totals,1992-11-22,C/LW
13962,Tanner Jeannot,20222023,totals,1997-05-29,LW/RW
13963,Scott Mayfield,20222023,New York Islanders,1992-10-14,D
13964,Kaiden Guhle,20222023,Montréal Canadiens,2002-01-18,D
13965,Pierre-Olivier Joseph,20222023,Pittsburgh Penguins,1999-07-01,D
13966,Mathieu Joseph,20222023,Ottawa Senators,1997-02-09,RW/LW
13967,Quinton Byfield,20222023,Los Angeles Kings,2002-08-19,C
13968,Ryan Suter,20222023,Dallas Stars,1985-01-21,D
13969,Will Borgen,20222023,Seattle Kraken,1996-12-19,D
13970,Ryan Lindgren,20222023,New York Rangers,1998-02-11,D
13971,Marc-Edouard Vlasic,20222023,San Jose Sharks,1987-03-30,D
13972,Paul Cotter,20222023,Vegas Golden Knights,1999-11-16,C/LW
13973,Derek Ryan,20222023,Edmonton Oilers,1986-12-29,C/RW
13974,Jack McBain,20222023,Arizona Coyotes,2000-01-06,C
13975,Radek Faksa,20222023,Dallas Stars,1994-01-09,C
13976,Ryan Lomberg,20222023,Florida Panthers,1994-12-09,LW
13977,Trevor Lewis,20222023,Calgary Flames,1987-01-08,C/RW
13978,Robby Fabbri,20222023,Detroit Red Wings,1996-01-22,C/LW
13979,Oliver Wahlstrom,20222023,New York Islanders,2000-06-13,RW
13980,Joe Veleno,20222023,Detroit Red Wings,2000-01-13,C
13981,Keegan Kolesar,20222023,Vegas Golden Knights,1997-04-08,RW
13982,Lars Eller,20222023,totals,1989-05-08,C
13983,Nils Lundkvist,20222023,Dallas Stars,2000-07-27,D
13984,Emil Bemstrom,20222023,Columbus Blue Jackets,1999-06-01,C/RW
13985,Adam Pelech,20222023,New York Islanders,1994-08-16,D
13986,Connor Clifton,20222023,Boston Bruins,1995-04-28,D
13987,Braden Schneider,20222023,New York Rangers,2001-09-20,D
13988,Travis Sanheim,20222023,Philadelphia Flyers,1996-03-29,D
13989,David Savard,20222023,Montréal Canadiens,1990-10-22,D
13990,Nick Leddy,20222023,St Louis Blues,1991-03-20,D
13991,Brian Dumoulin,20222023,Pittsburgh Penguins,1991-09-06,D
13992,Brayden McNabb,20222023,Vegas Golden Knights,1991-01-21,D
13993,Dakota Joshua,20222023,Vancouver Canucks,1996-05-15,C
13994,Calle Rosen,20222023,St Louis Blues,1994-02-02,D
13995,Adam Erne,20222023,Detroit Red Wings,1995-04-20,LW/RW
13996,Jesper Boqvist,20222023,New Jersey Devils,1998-10-30,C/LW
13997,Dylan Guenther,20222023,Arizona Coyotes,2003-04-10,RW/LW
13998,Morgan Barron,20222023,Winnipeg Jets,1998-12-02,C/LW
13999,Timothy Liljegren,20222023,Toronto Maple Leafs,1999-04-30,D
14000,Tyler Bertuzzi,20222023,totals,1995-02-24,LW
14001,Josh Leivo,20222023,St Louis Blues,1993-05-26,LW/RW
14002,Cole Smith,20222023,Nashville Predators,1995-10-28,LW
14003,Jordan Harris,20222023,Montréal Canadiens,2000-07-07,D
14004,Colin Miller,20222023,Dallas Stars,1992-10-29,D
14005,Ian Cole,20222023,Tampa Bay Lightning,1989-02-21,D
14006,Dmitry Kulikov,20222023,totals,1990-10-29,D
14007,Mikey Anderson,20222023,Los Angeles Kings,1999-05-25,D
14008,Ryan McDonagh,20222023,Nashville Predators,1989-06-13,D
14009,Sheldon Dries,20222023,Vancouver Canucks,1994-04-23,C/W
14010,Nikita Zadorov,20222023,Calgary Flames,1995-04-16,D
14011,Sam Gagner,20222023,Winnipeg Jets,1989-08-10,C/RW
14012,Evgeny Svechnikov,20222023,San Jose Sharks,1996-10-31,RW/LW
14013,Zemgus Girgensons,20222023,Buffalo Sabres,1994-01-05,C/W
14014,Colin White,20222023,Florida Panthers,1997-01-30,C/RW
14015,Max Comtois,20222023,Anaheim Ducks,1999-01-08,LW
14016,Steven Lorentz,20222023,San Jose Sharks,1996-04-13,C/LW
14017,Nate Schmidt,20222023,Winnipeg Jets,1991-07-16,D
14018,Bowen Byram,20222023,Colorado Avalanche,2001-06-13,D
14019,Jesse Puljujarvi,20222023,totals,1998-05-07,RW
14020,Milan Lucic,20222023,Calgary Flames,1988-06-07,LW
14021,Travis Hamonic,20222023,Ottawa Senators,1990-08-16,D
14022,Isac Lundestrom,20222023,Anaheim Ducks,1999-11-06,C/LW
14023,Ethan Bear,20222023,Vancouver Canucks,1997-06-26,D
14024,Brandon Carlo,20222023,Boston Bruins,1996-11-26,D
14025,Rasmus Ristolainen,20222023,Philadelphia Flyers,1994-10-27,D
14026,Justin Holl,20222023,Toronto Maple Leafs,1992-01-30,D
14027,Nick Holden,20222023,Ottawa Senators,1987-05-15,D
14028,Wade Allison,20222023,Philadelphia Flyers,1997-10-14,RW
14029,Luke Kunin,20222023,San Jose Sharks,1997-12-04,C/W
14030,Pontus Holmberg,20222023,Toronto Maple Leafs,1999-03-09,C/LW
14031,Axel Jonsson Fjallby,20222023,Winnipeg Jets,1998-02-10,LW
14032,Martin Fehervary,20222023,Washington Capitals,1999-10-06,D
14033,Arber Xhekaj,20222023,Montréal Canadiens,2001-01-30,D
14034,Mathieu Olivier,20222023,Columbus Blue Jackets,1997-02-11,RW/LW
14035,Oskar Lindblom,20222023,San Jose Sharks,1996-08-15,LW/RW
14036,Connor Dewar,20222023,Minnesota Wild,1999-06-26,C
14037,Jani Hakanpaa,20222023,Dallas Stars,1992-03-31,D
14038,Yegor Chinakhov,20222023,Columbus Blue Jackets,2001-02-01,W
